x_acc;y_acc;z_acc
11.6069;0.85154;4.02214
11.1086;0.56888;4.62101
10.9697;0.26226;4.76953
11.0894;0.00355;4.42458
10.3181;-0.07311;4.38626
9.71443;-0.20726;4.41979
9.32157;-0.49951;4.44854
9.53717;-0.29828;4.15629
8.143;0.22872;4.415
7.70223;0.26226;4.29523
7.35249;0.04187;3.89758
6.83028;0.10895;3.42327
5.90562;0.41557;3.25559
5.599;0.30538;3.12144
5.32112;0.14248;2.8292
4.5402;-0.03957;2.30219
4.73184;-0.35099;2.74296
5.1774;-0.71989;3.43286
5.41694;-0.55221;4.07005
5.67086;-0.36057;4.59227
6.10684;-0.77738;4.41979
6.74883;-1.1607;4.89889
7.30937;-0.89236;5.81875
7.69265;-0.68635;6.08705
9.01016;-0.78217;6.41283
10.5385;-0.80613;7.16022
10.984;-0.67677;7.17938
11.5973;-0.42764;6.61884
11.0511;-0.51867;5.56962
11.2236;-0.68156;5.29654
10.3708;-0.11623;5.14802
9.43656;0.42036;4.55873
9.18743;0.54971;3.84967
8.97183;0.31496;3.07833
8.51669;0.10895;2.50341
8.29631;-0.13539;2.00994
8.16695;-0.19767;1.68416
7.9322;-0.15935;1.77519
7.8268;-0.41806;2.21116
7.49143;-0.4468;2.69026
8.50711;-1.2804;3.26996
9.12994;-1.6445;3.75864
9.02453;-1.5583;4.42938
8.76103;-1.3667;5.2103
8.66521;-1.2325;5.64628
8.51669;-1.0984;5.71335
8.59335;-1.0073;5.90978
9.29762;-0.60491;6.18287
10.7589;-0.14018;6.65238
11.6116;0.37245;6.80569
9.38386;1.3067;5.85708
8.39213;1.3019;5.20072
8.54544;0.20477;4.48208
9.60903;-1.5535;3.21247
9.89649;-2.2769;2.83878
9.80546;-2.3057;2.85794
9.81025;-2.0087;3.03042
9.82942;-1.9368;3.05437
9.92044;-1.9943;3.05437
10.1935;-2.1955;2.85794
10.3468;-2.0853;2.99688
10.4618;-1.9751;2.92022
10.2798;-1.7691;2.76691
10.5385;-1.7068;2.18721
11.0511;-2.1572;2.08181
10.6295;-2.0709;2.58007
10.3229;-2.023;3.10228
10.3421;-2.1955;3.23643
10.4235;-2.4782;3.39453
10.4139;-2.78;3.84488
10.4379;-2.7273;4.49166
9.63778;-2.8183;4.93722
9.50842;-2.5021;5.21988
9.79588;-2.0422;5.22467
9.76713;-1.9464;4.87014
9.59466;-1.8314;4.53957
9.5707;-1.8697;4.23295
9.41739;-1.817;3.91195
9.23055;-1.6925;4.01256
8.81852;-1.5966;3.92153
8.7275;-1.6637;3.58138
8.91913;-1.8697;3.1454
9.16347;-2.1572;3.08791
8.96225;-2.2386;3.39932
9.45572;-3.216;4.88931
7.35728;-2.5452;6.24036
7.7693;-2.6267;5.05699
8.63647;-3.0866;4.70725
8.90476;-2.7656;4.65934
8.21965;-2.1955;4.68809
8.81373;-2.2769;4.16108
9.23055;-1.9751;3.49993
9.71443;-1.9081;2.65193
9.75755;-1.7356;1.49252
9.33116;-1.5152;0.99426
8.40171;-1.2661;0.81699
7.86033;-0.88757;1.52126
8.28194;-1.0696;1.43503
7.59204;-0.236;1.98599
6.93089;-0.19288;1.24339
7.96094;-1.2709;0.09835
8.96225;-1.726;-0.60113
9.12994;-1.6254;-0.32805
8.81852;-1.4529;1.30567
8.24361;-0.81092;1.99078
8.02322;-0.80613;2.2447
8.53586;-0.73905;1.81351
8.16695;-0.31745;1.45898
7.35728;-0.00604;0.87928
8.12383;-0.68635;0.1798
8.7754;-1.3427;-0.1412
9.27845;-1.6445;0.17021
9.25929;-1.6014;0.63494
9.44614;-1.8074;0.99905
9.61382;-1.8218;1.68895
9.69048;-1.9847;1.79435
9.56112;-2.2243;2.04827
9.71443;-2.2147;2.39801
9.49884;-2.0087;2.53216
9.74318;-2.0278;2.06264
8.39692;-1.7356;1.68416
9.71443;-2.7465;1.43024
10.7637;-2.8758;1.85663
10.6151;-1.956;2.8244
10.1504;-1.52;3.38016
9.60424;-1.7499;3.29392
9.4126;-2.3153;3.24122
9.62819;-2.5548;3.31787
9.18264;-2.2961;3.74906
9.13952;-1.9128;4.30002
9.28804;-1.8506;4.56831
9.27845;-1.702;4.42458
9.01974;-1.9081;4.13713
9.03891;-2.0182;3.81613
9.05328;-2.0135;3.76343
9.04849;-1.9607;3.98382
8.80894;-1.8841;4.34793
8.87122;-1.7691;4.91805
8.91434;-1.5583;5.34445
8.77061;-1.4529;5.4211
8.32026;-1.1175;4.90847
7.48185;-1.1319;4.7887
7.70223;-1.5823;4.92284
7.4531;-1.496;4.70725
6.90693;-1.4433;4.56831
7.49143;-1.841;4.65934
7.6639;-1.8506;5.09053
7.23272;-0.95465;6.47032
7.64474;-0.84925;6.51344
7.48185;-0.73426;6.47991
6.9261;-0.42285;7.18897
7.38603;-0.59053;7.11231
7.80284;-0.69593;6.83444
7.20876;-0.47076;7.50038
7.25188;-0.57616;7.14106
7.10336;-0.60491;6.76257
6.83028;-0.4516;6.83923
7.18481;-0.6624;6.91109
7.04587;-0.57137;7.09794
6.71529;-0.38452;7.31353
6.82548;-0.36536;7.79742
7.29979;-0.56179;7.62015
7.41477;-0.69114;7.23209
7.12732;-0.45639;6.8536
7.22793;-0.43722;6.78653
6.60989;-0.67677;8.08008
6.85423;-0.88278;8.65021
6.82548;-0.75822;8.64063
6.69134;-0.57616;8.64063
6.66738;-0.61449;8.41545
6.93568;-0.8732;8.12799
6.9261;-0.57616;8.39629
7.09857;-0.62886;8.3915
6.93568;-0.63844;8.2861
7.0315;-0.84445;8.12799
6.77278;-0.94027;8.20944
6.68655;-0.78217;7.92198
7.11294;-0.7678;7.83575
7.1369;-0.67198;7.74472
7.26625;-0.65761;7.69202
7.1369;-0.72468;7.87886
6.71529;-0.557;7.90282
6.73446;-0.83966;7.69202
6.95484;-0.91153;8.08008
6.73446;-0.74863;7.9651
6.69134;-0.557;7.60099
6.30806;-0.08269;7.94594
6.82548;-0.57137;7.29437
6.74404;-0.58574;7.41414
6.6578;-0.36057;7.79742
6.81111;-0.56658;7.807
6.75362;-0.83966;7.17459
6.8686;-1.4098;6.63322
6.59552;-1.1559;6.92546
6.65301;-1.1032;6.92067
6.18829;-0.73426;6.86318
6.59073;-0.8205;6.3218
7.13211;-0.71989;6.06309
7.30458;-0.66719;5.98165
6.89256;-0.27433;6.00081
6.8686;-0.24558;6.07746
7.16564;-0.58574;5.79001
7.0315;-0.82529;5.83792
6.91651;-0.81571;5.99123
6.6578;-0.61928;6.14454
6.76799;-0.46118;6.29785
7.07461;-0.36057;6.50865
7.20397;-0.40369;6.56614
7.12732;-0.54741;6.70508
7.04108;-0.59532;6.76257
6.99317;-0.60491;6.79132
6.98838;-0.62886;6.88235
6.87339;-0.67198;6.94942
6.78237;-0.49471;6.96379
6.52845;-0.40848;6.89193
6.88298;-0.54741;6.93025
6.60989;-0.42285;6.71466
6.74404;-0.62407;6.8536
6.66738;-0.41806;7.0644
7.04108;-0.4516;7.23209
6.7105;-0.48034;7.72555
6.72487;-0.60491;7.67285
6.63864;-0.63844;7.37581
6.6051;-0.67198;7.37581
6.67217;-0.67677;7.23209
6.68176;-0.67677;7.22729
6.75362;-0.68156;7.20334
6.72008;-0.69114;7.17938
6.7105;-0.71031;7.19855
6.68655;-0.67677;7.28479
6.67697;-0.55221;7.31353
6.58594;-0.56179;7.36144
6.51407;-0.58574;7.2752
6.5524;-0.54741;7.24167
6.43263;-0.50909;7.24167
6.40867;-0.54741;7.27041
6.41825;-0.56179;7.29437
6.48054;-0.55221;7.34707
6.51407;-0.51388;7.35186
6.46616;-0.47555;7.27999
6.46616;-0.47076;7.22729
6.48533;-0.48034;7.22729
6.46137;-0.43722;7.18418
6.3943;-0.48513;7.17459
6.36076;-0.53304;7.14106
6.32723;-0.557;7.1698
6.33202;-0.58095;7.22729
5.88646;-0.40848;7.25125
5.81459;-0.25517;7.08836
6.73925;-0.59053;7.14106
7.2423;-0.83966;6.84402
6.37513;-0.61928;7.04045
6.43263;-0.60012;7.37581
6.5524;-0.44201;6.93505
6.36555;-0.35578;7.0644
6.15475;-0.24079;7.09794
5.59421;-0.32224;7.81179
5.85771;-0.76301;7.90282
5.43611;-0.61928;7.79263
6.20266;-0.46118;7.17938
5.61337;-0.31266;7.10752
6.51886;-0.77259;7.95073
6.24578;-0.71031;7.68723
5.57984;-0.31745;7.89803
5.82897;-0.41327;7.98906
5.91999;-0.46118;8.15195
5.13907;-0.14018;8.16153
6.11642;-0.28391;7.47642
6.73925;-0.59053;7.62494
6.11642;-0.3941;7.8597
5.8098;-0.29828;8.35317
5.85292;-0.37973;8.3388
5.8625;-0.32703;8.24777
5.88167;-0.30308;8.2813
5.89125;-0.29828;8.12799
5.83855;-0.3414;8.0178
5.79543;-0.37015;8.05613
5.74273;-0.38931;8.10404
5.7044;-0.41327;8.14237
5.7044;-0.42764;8.27651
5.71398;-0.4516;8.31005
5.69482;-0.47076;8.32921
5.68524;-0.48513;8.38671
5.69482;-0.51867;8.31005
5.64691;-0.52346;8.22381
5.67566;-0.50909;8.1232
5.63254;-0.52346;8.0705
5.6517;-0.51867;8.08967
5.6517;-0.51867;8.11841
5.70919;-0.51388;8.15674
5.72356;-0.48992;8.18069
5.73315;-0.4516;8.15674
5.74752;-0.43722;8.03697
5.75231;-0.42285;7.98906
5.73794;-0.41806;8.00343
5.72356;-0.41806;7.98427
5.69961;-0.41806;8.00343
5.67566;-0.41327;8.08008
5.67566;-0.41327;8.16153
5.69482;-0.44201;8.2286
5.70919;-0.46118;8.2861
5.69961;-0.48992;8.26214
5.67566;-0.49951;8.19986
5.66607;-0.53304;8.11841
5.65649;-0.51867;8.04655
5.64691;-0.47555;7.95073
5.63254;-0.43722;7.84054
5.63733;-0.43722;7.81179
5.64691;-0.42285;7.84533
5.64691;-0.40369;7.87407
5.6517;-0.36536;7.86449
5.64691;-0.32703;7.83575
5.62775;-0.35099;7.88366
5.62295;-0.35099;7.88366
5.64691;-0.32703;7.94115
5.68524;-0.29828;8.0705
5.56067;-0.25996;8.19507
5.87208;-0.37494;8.38192
5.78585;-0.33661;8.37233
5.74752;-0.37015;8.42024
5.79064;-0.45639;8.4442
5.79064;-0.48513;8.38671
5.80501;-0.48034;8.2813
5.82897;-0.51388;8.19028
5.9152;-0.53783;8.23819
5.93437;-0.48513;8.19028
5.94874;-0.46597;8.19507
5.95832;-0.46597;8.19028
5.81459;-0.40848;8.17111
5.67566;-0.42285;8.10404
6.01102;-0.40848;8.51127
5.60858;-0.47555;8.04655
5.27801;-0.38931;8.02259
5.36424;-0.44201;8.16153
4.60248;-0.62407;8.00343
5.29238;-0.69593;8.09925
5.66128;-0.54262;8.58313
5.68045;-0.45639;8.71728
4.87557;-0.0779;8.34838
5.90083;-0.78217;8.37712
6.49012;-0.89236;8.24298
6.6051;-0.67198;8.27172
6.78716;-0.54262;8.43462
6.62426;-0.24079;7.68723
7.41477;-0.99297;7.03087
6.67217;-0.14977;8.12799
6.70571;-0.36057;7.3854
6.94047;-0.51388;6.60926
7.31416;-0.47555;6.16849
7.07461;-0.25517;6.30264
6.59073;-0.29349;6.65238
6.74404;-0.57137;6.83444
6.43263;-0.77738;7.03566
5.78585;-0.61449;7.04045
6.14038;-0.54262;6.46553
6.87339;-0.74384;7.04045
6.29369;-0.37494;7.42372
6.99317;-0.43722;7.00691
6.47575;-0.29349;7.37581
7.0842;-0.3941;7.3327
7.22313;-0.52346;7.29437
7.44352;-0.75343;7.24167
8.09509;-0.75822;6.90151
7.7693;-0.81571;6.66196
8.23882;-0.9259;5.93374
8.42087;-0.79175;5.29175
8.60772;-0.79654;4.6258
8.36817;-0.75343;3.75385
8.20528;-0.83966;3.57179
8.64126;-0.99297;3.47118
8.55502;-0.80613;3.3562
7.64953;-0.58574;3.98382
8.64126;-1.2182;3.54784
8.44962;-1.2325;3.70594
7.53455;-0.81092;4.65934
7.42435;-1.0553;4.92763
8.12383;-1.6445;4.33835
9.09161;-1.7404;3.20289
7.61599;-1.1175;3.84488
7.64474;-1.3858;3.55742
7.13211;-1.6829;3.44244
6.96921;-1.6925;4.11317
7.23751;-1.5631;4.03652
7.52017;-1.6062;3.24122
8.09988;-1.4912;2.31656
7.97531;-0.96902;1.51168
8.13342;-0.65761;1.48773
8.7754;-0.98818;1.75123
8.38734;-0.84445;2.25428
8.98621;-1.3619;2.48425
9.59466;-1.5535;2.46987
9.2545;-1.1271;3.47118
9.45093;-1.314;3.94549
9.53238;-1.2804;3.76343
9.92523;-1.3619;2.98251
10.1839;-1.2565;2.68068
9.71922;-0.97381;2.56569
8.74666;-0.69593;2.09139
9.13473;-0.90674;1.70811
9.32636;-0.89715;1.55001
9.5707;-0.93069;2.10097
10.136;-1.1319;2.54653
10.1744;-0.87799;2.80045
10.9744;-0.87799;3.05437
11.9422;-0.91632;3.567
12.5794;-0.60491;4.19462
10.7972;1.024;3.63887
11.329;2.1882;3.32266
11.7218;2.8398;3.38974
11.4871;3.0889;2.60881
11.4009;2.9979;2.67588
11.1948;2.5763;2.96334
10.7157;2.0253;2.74775
9.83421;1.4983;3.15019
8.68438;1.6564;3.55263
8.43046;1.46;3.25559
7.98011;1.3498;2.65193
8.10946;0.91383;1.45419
8.17174;0.88508;2.07222
8.65084;0.89945;1.90933
8.53586;0.98569;2.68068
8.60293;0.69823;2.35968
8.46878;0.73177;2.52737
8.89518;0.81801;3.02562
8.92871;0.93299;3.03042
8.89997;0.86592;2.79566
8.7227;0.9809;2.719
8.79457;0.74614;2.16804
8.84248;0.58325;1.9237
9.58987;0.12332;2.17283
9.06286;1.1007;4.55873
9.12994;0.60721;4.80786
9.9444;0.2383;4.56352
10.0929;0.2383;4.18504
9.51321;0.49701;3.27475
9.55154;0.52576;2.49383
9.56112;0.67907;0.86011
9.29762;0.92341;0.15584
9.23055;0.88987;-0.06933
9.51321;1.1773;0.72117
9.2545;1.4265;3.08791
8.97183;1.1534;5.07136
8.79936;0.6647;5.29654
9.08682;0.35808;4.55873
9.46051;0.4491;3.15498
9.518;0.25268;1.68895
9.9971;0.38682;1.19548
9.71922;1.1773;1.54043
9.79588;0.53055;1.32004
10.2941;0.17123;0.82178
9.91086;0.56888;0.9751
10.0258;0.21914;1.01821
